,Word_TTR
I01T-gNSC-r1-In-N14,0.30612244897959184
I01U-gNSC-r1-In-N14,0.2191780821917808
I02T-gNSC-r1-Tr-N14,0.2876712328767123
I02U-gNSC-r1-Tr-N14,0.34523809523809523
I03T-gNSC-r1-Di-N14,0.35526315789473684
I03U-gNSC-r1-Di-N14,0.41964285714285715
I04T-gNSC-r1-In-N14,0.41379310344827586
I04U-gNSC-r1-In-N14,0.4915254237288136
I05T-gNSC-r1-Di-N14,0.40298507462686567
I05U-gNSC-r1-Di-N14,0.5
I06T-gNSC-r1-Tr-N14,0.203125
I06U-gNSC-r1-Tr-N14,0.33695652173913043
I07T-gNSC-r1-In-N14,0.1864406779661017
I07U-gNSC-r1-In-N14,0.3382352941176471
I08T-gNSC-r1-Di-N14,0.3595505617977528
I08U-gNSC-r1-Di-N14,0.40404040404040403
I09T-gNSC-r1-Tr-N14,0.25
I09U-gNSC-r1-Tr-N14,0.25925925925925924
I10T-gNSC-r1-In-N14,0.23255813953488372
I10U-gNSC-r1-In-N14,0.18032786885245902
I11T-gNSC-r1-Di-N14,0.2987012987012987
I11U-gNSC-r1-Di-N14,0.4186046511627907
I12T-gNSC-r1-Tr-N14,0.30864197530864196
I12U-gNSC-r1-Tr-N14,0.4117647058823529
I13T-gNSC-r1-In-N14,0.22916666666666666
I13U-gNSC-r1-In-N14,0.37037037037037035
I14T-gNSC-r1-Di-N14,0.3153153153153153
I14U-gNSC-r1-Di-N14,0.36936936936936937
I15T-gNSC-r1-Tr-N14,0.36619718309859156
I15U-gNSC-r1-Tr-N14,0.38
I16T-gNSC-r1-Tr-N14,0.2777777777777778
I16U-gNSC-r1-Tr-N14,0.24742268041237114
I17T-gNSC-r1-Di-N14,0.23684210526315788
I17U-gNSC-r1-Di-N14,0.27450980392156865
I18T-gNSC-r1-In-N14,0.3389830508474576
I18U-gNSC-r1-In-N14,0.3492063492063492
I19T-gNSC-r1-Tr-N14,0.32857142857142857
I19U-gNSC-r1-Tr-N14,0.32954545454545453
I20T-gNSC-r1-In-N14,0.35714285714285715
I20U-gNSC-r1-In-N14,0.547945205479452
I21T-gNSC-r1-Di-N14,0.2875
I21U-gNSC-r1-Di-N14,0.3142857142857143
I22T-gNSC-r1-Tr-N14,0.3225806451612903
I22U-gNSC-r1-Tr-N14,0.4672131147540984
I23T-gNSC-r1-Di-N14,0.24509803921568626
I23U-gNSC-r1-Di-N14,0.42857142857142855
I24T-gNSC-r1-In-N14,0.4727272727272727
I24U-gNSC-r1-In-N14,0.32
I25T-gNSC-r1-Tr-N14,0.21212121212121213
I25U-gNSC-r1-Tr-N14,0.3548387096774194
I26T-gNSC-r1-Di-N14,0.2564102564102564
I26U-gNSC-r1-Di-N14,0.2631578947368421
I27T-gNSC-r1-In-N14,0.27586206896551724
I27U-gNSC-r1-In-N14,0.32894736842105265
I28T-gNSC-r1-Di-N14,0.3918918918918919
I28U-gNSC-r1-Di-N14,0.4485981308411215
I29T-gNSC-r1-Tr-N14,0.47435897435897434
I29U-gNSC-r1-Tr-N14,0.3218390804597701
I30T-gNSC-r1-In-N14,0.3584905660377358
I30U-gNSC-r1-In-N14,0.3698630136986301
