,ldh,xdh,xdx
I01T-gNSC-r1-In-N14,0.296875,0.296875,0.203125
I01U-gNSC-r1-In-N14,0.26436781609195403,0.25287356321839083,0.1839080459770115
I02T-gNSC-r1-Tr-N14,0.38636363636363635,0.375,0.2159090909090909
I02U-gNSC-r1-Tr-N14,0.45,0.43,0.23
I03T-gNSC-r1-Di-N14,0.42857142857142855,0.4175824175824176,0.21978021978021978
I03U-gNSC-r1-Di-N14,0.6692913385826772,0.6614173228346457,0.30708661417322836
I04T-gNSC-r1-In-N14,0.5138888888888888,0.5138888888888888,0.3055555555555556
I04U-gNSC-r1-In-N14,0.664179104477612,0.6417910447761194,0.3880597014925373
I05T-gNSC-r1-Di-N14,0.6219512195121951,0.6219512195121951,0.34146341463414637
I05U-gNSC-r1-Di-N14,0.8181818181818182,0.8181818181818182,0.4090909090909091
I06T-gNSC-r1-Tr-N14,0.17721518987341772,0.17721518987341772,0.1518987341772152
I06U-gNSC-r1-Tr-N14,0.5,0.4716981132075472,0.24528301886792453
I07T-gNSC-r1-In-N14,0.2191780821917808,0.2054794520547945,0.136986301369863
I07U-gNSC-r1-In-N14,0.45121951219512196,0.43902439024390244,0.2682926829268293
I08T-gNSC-r1-Di-N14,0.5339805825242718,0.5145631067961165,0.2912621359223301
I08U-gNSC-r1-Di-N14,0.5929203539823009,0.5752212389380531,0.2920353982300885
I09T-gNSC-r1-Tr-N14,0.3695652173913043,0.3695652173913043,0.20652173913043478
I09U-gNSC-r1-Tr-N14,0.4,0.3894736842105263,0.18947368421052632
I10T-gNSC-r1-In-N14,0.21052631578947367,0.21052631578947367,0.14035087719298245
I10U-gNSC-r1-In-N14,0.22666666666666666,0.22666666666666666,0.14666666666666667
I11T-gNSC-r1-Di-N14,0.38461538461538464,0.37362637362637363,0.21978021978021978
I11U-gNSC-r1-Di-N14,0.4803921568627451,0.46078431372549017,0.3235294117647059
I12T-gNSC-r1-Tr-N14,0.34375,0.34375,0.22916666666666666
I12U-gNSC-r1-Tr-N14,0.48514851485148514,0.4752475247524752,0.32673267326732675
I13T-gNSC-r1-In-N14,0.20967741935483872,0.20967741935483872,0.16129032258064516
I13U-gNSC-r1-In-N14,0.39705882352941174,0.39705882352941174,0.23529411764705882
I14T-gNSC-r1-Di-N14,0.5317460317460317,0.5,0.23015873015873015
I14U-gNSC-r1-Di-N14,0.512,0.512,0.264
I15T-gNSC-r1-Tr-N14,0.4069767441860465,0.3953488372093023,0.20930232558139536
I15U-gNSC-r1-Tr-N14,0.5175438596491229,0.4824561403508772,0.2894736842105263
I16T-gNSC-r1-Tr-N14,0.41346153846153844,0.41346153846153844,0.21153846153846154
I16U-gNSC-r1-Tr-N14,0.36936936936936937,0.36936936936936937,0.17117117117117117
I17T-gNSC-r1-Di-N14,0.3076923076923077,0.2857142857142857,0.17582417582417584
I17U-gNSC-r1-Di-N14,0.3620689655172414,0.3103448275862069,0.19827586206896552
I18T-gNSC-r1-In-N14,0.4605263157894737,0.4473684210526316,0.2631578947368421
I18U-gNSC-r1-In-N14,0.4155844155844156,0.4155844155844156,0.2727272727272727
I19T-gNSC-r1-Tr-N14,0.35294117647058826,0.35294117647058826,0.2235294117647059
I19U-gNSC-r1-Tr-N14,0.4019607843137255,0.39215686274509803,0.23529411764705882
I20T-gNSC-r1-In-N14,0.3142857142857143,0.3142857142857143,0.24285714285714285
I20U-gNSC-r1-In-N14,0.5681818181818182,0.5568181818181818,0.4090909090909091
I21T-gNSC-r1-Di-N14,0.3617021276595745,0.3617021276595745,0.19148936170212766
I21U-gNSC-r1-Di-N14,0.5042016806722689,0.4789915966386555,0.2605042016806723
I22T-gNSC-r1-Tr-N14,0.6481481481481481,0.6296296296296297,0.24074074074074073
I22U-gNSC-r1-Tr-N14,0.7794117647058824,0.7794117647058824,0.39705882352941174
I23T-gNSC-r1-Di-N14,0.4396551724137931,0.4224137931034483,0.1724137931034483
I23U-gNSC-r1-Di-N14,0.66,0.6466666666666666,0.31333333333333335
I24T-gNSC-r1-In-N14,0.6666666666666666,0.6521739130434783,0.3333333333333333
I24U-gNSC-r1-In-N14,0.3707865168539326,0.3707865168539326,0.24719101123595505
I25T-gNSC-r1-Tr-N14,0.2375,0.225,0.15
I25U-gNSC-r1-Tr-N14,0.42201834862385323,0.3944954128440367,0.25688073394495414
I26T-gNSC-r1-Di-N14,0.32608695652173914,0.30434782608695654,0.1956521739130435
I26U-gNSC-r1-Di-N14,0.3302752293577982,0.3119266055045872,0.1743119266055046
I27T-gNSC-r1-In-N14,0.4027777777777778,0.4027777777777778,0.2222222222222222
I27U-gNSC-r1-In-N14,0.37777777777777777,0.37777777777777777,0.25555555555555554
I28T-gNSC-r1-Di-N14,0.5454545454545454,0.5454545454545454,0.29545454545454547
I28U-gNSC-r1-Di-N14,0.71900826446281,0.7107438016528925,0.35537190082644626
I29T-gNSC-r1-Tr-N14,0.7659574468085106,0.7659574468085106,0.3191489361702128
I29U-gNSC-r1-Tr-N14,0.49504950495049505,0.49504950495049505,0.24752475247524752
I30T-gNSC-r1-In-N14,0.40298507462686567,0.40298507462686567,0.2537313432835821
I30U-gNSC-r1-In-N14,0.45977011494252873,0.45977011494252873,0.28735632183908044
