,Term_STTR
I01T-gNSC-r1-In-N50,0.285
I01T-gNSC-r2-In-N50,0.40416666666666673
I01U-gNSC-r1-In-N50,0.34375
I01U-gNSC-r2-In-N50,0.46562499999999996
I02T-gNSC-r1-Tr-N50,0.3535714285714286
I02T-gNSC-r2-Tr-N50,0.4375
I02U-gNSC-r1-Tr-N50,0.40937500000000004
I02U-gNSC-r2-Tr-N50,0.44999999999999996
I03T-gNSC-r1-Di-N50,0.36666666666666664
I03T-gNSC-r2-Di-N50,0.4388888888888889
I03U-gNSC-r1-Di-N50,0.4522727272727273
I03U-gNSC-r2-Di-N50,0.45249999999999996
I04T-gNSC-r1-In-N50,0.45
I04T-gNSC-r2-In-N50,0.54375
I04U-gNSC-r1-In-N50,0.5333333333333333
I04U-gNSC-r2-In-N50,0.5725
I05T-gNSC-r1-Di-N50,0.4214285714285714
I05T-gNSC-r2-Di-N50,0.53125
I05U-gNSC-r1-Di-N50,0.5194444444444444
I05U-gNSC-r2-Di-N50,0.5722222222222223
I06T-gNSC-r1-Tr-N50,0.375
I06T-gNSC-r2-Tr-N50,0.47812499999999997
I06U-gNSC-r1-Tr-N50,0.41944444444444445
I06U-gNSC-r2-Tr-N50,0.5
I07T-gNSC-r1-In-N50,0.3083333333333333
I07T-gNSC-r2-In-N50,0.39166666666666666
I07U-gNSC-r1-In-N50,0.3583333333333334
I07U-gNSC-r2-In-N50,0.51875
I08T-gNSC-r1-Di-N50,0.53
I08T-gNSC-r2-Di-N50,0.5674999999999999
I08U-gNSC-r1-Di-N50,0.5125
I08U-gNSC-r2-Di-N50,0.6022727272727273
I09T-gNSC-r1-Tr-N50,0.33437500000000003
I09T-gNSC-r2-Tr-N50,0.43125
I09U-gNSC-r1-Tr-N50,0.36666666666666664
I09U-gNSC-r2-Tr-N50,0.45499999999999996
I10T-gNSC-r1-In-N50,0.28750000000000003
I10T-gNSC-r2-In-N50,0.4464285714285715
I10U-gNSC-r1-In-N50,0.30416666666666664
I10U-gNSC-r2-In-N50,0.4535714285714286
I11T-gNSC-r1-Di-N50,0.38611111111111107
I11T-gNSC-r2-Di-N50,0.47777777777777786
I11U-gNSC-r1-Di-N50,0.4083333333333334
I11U-gNSC-r2-Di-N50,0.48500000000000004
I12T-gNSC-r1-Tr-N50,0.3875
I12T-gNSC-r2-Tr-N50,0.475
I12U-gNSC-r1-Tr-N50,0.43333333333333335
I12U-gNSC-r2-Tr-N50,0.49749999999999994
I13T-gNSC-r1-In-N50,0.3541666666666667
I13T-gNSC-r2-In-N50,0.44642857142857145
I13U-gNSC-r1-In-N50,0.35833333333333334
I13U-gNSC-r2-In-N50,0.446875
I14T-gNSC-r1-Di-N50,0.44750000000000006
I14T-gNSC-r2-Di-N50,0.4931818181818182
I14U-gNSC-r1-Di-N50,0.4525
I14U-gNSC-r2-Di-N50,0.5022727272727273
I15T-gNSC-r1-Tr-N50,0.30624999999999997
I15T-gNSC-r2-Tr-N50,0.4444444444444444
I15U-gNSC-r1-Tr-N50,0.35937500000000006
I15U-gNSC-r2-Tr-N50,0.48
I16T-gNSC-r1-Tr-N50,0.32142857142857145
I16T-gNSC-r2-Tr-N50,0.40937500000000004
I16U-gNSC-r1-Tr-N50,0.3925
I16U-gNSC-r2-Tr-N50,0.4272727272727273
I17T-gNSC-r1-Di-N50,0.28750000000000003
I17T-gNSC-r2-Di-N50,0.35277777777777775
I17U-gNSC-r1-Di-N50,0.3454545454545454
I17U-gNSC-r2-Di-N50,0.3931818181818182
I18T-gNSC-r1-In-N50,0.325
I18T-gNSC-r2-In-N50,0.34583333333333327
I18U-gNSC-r1-In-N50,0.32857142857142857
I18U-gNSC-r2-In-N50,0.41250000000000003
I19T-gNSC-r1-Tr-N50,0.346875
