item_model,xdh_r1
i01_in_dance,4.5
i02_tr_eat,6.5
i03_di_deliver,8.0
i04_in_wake,4.0
i05_di_teach,5.0
i06_tr_carry,5.5
i07_in_fly,6.5
i08_di_serve,4.0
i09_tr_ride,7.0
i10_in_cry,8.25
i11_di_ask,7.0
i12_tr_cut,7.0
i13_in_swim,5.75
i14_di_sell,7.5
i15_tr_plant,6.0
i16_tr_catch,7.0
i17_di_feed,5.5
i18_in_cough,5.0
i19_tr_photo,9.0
i20_in_laugh,4.75
i21_di_throw,4.5
i22_tr_forecast,6.5
i23_di_inject,9.5
i24_in_sleep,5.0
i25_tr_chase,5.0
i26_di_readto,10.5
i27_in_sing,2.75
i28_di_givedirection,6.5
i29_tr_cuddle,4.5
i30_in_run,8.0
