Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p,BERT_spear,BERT_p
I01T-gNSC-r1-In-N14-VS-N70,0.7569389052730745,3.440084998171582e-14,0.7690215931460164,7.55640501060459e-15,0.8330635516050725,3.7626273601173287e-19,0.7239360095947813,1.428802885345376e-12
I01T-gNSC-r2-In-N14-VS-N70,0.7556302406386799,4.032465835514111e-14,0.758922328072988,2.6987267016213752e-14,0.44883101955845583,9.736590869905009e-05,0.709753880015765,6.03761637131997e-12
I01U-gNSC-r1-In-N14-VS-N70,0.5089352930987325,6.8341271410436125e-06,0.6190034820037315,1.1185370568209905e-08,0.3560837305364353,0.00248304171256572,0.5686323888111399,2.816038698794388e-07
I01U-gNSC-r2-In-N14-VS-N70,0.7117009094597233,4.979175462237853e-12,0.3008864036703017,0.011373269947909949,0.3321486919413936,0.004967311621538186,0.5165567490677268,4.701602484522828e-06
I02T-gNSC-r1-Tr-N14-VS-N70,-0.038168440390200016,0.7537454971068318,0.003423899830306925,0.9775579278828804,0.223219885581218,0.06324342058321614,0.3749145140077993,0.0013848822661280877
I02T-gNSC-r2-Tr-N14-VS-N70,0.20437694691778385,0.08967471634379665,0.1806853984275393,0.1344315055319159,0.30040699652082176,0.011511165767311078,0.525022732917306,3.0700726606335052e-06
I02U-gNSC-r1-Tr-N14-VS-N70,0.3257178712798724,0.005931388819641148,0.2864647626495728,0.016207836907123848,0.3035667383279165,0.010628416939373244,0.533161920282099,2.0157071844877294e-06
I02U-gNSC-r2-Tr-N14-VS-N70,0.2384404939740367,0.04683519727152415,0.2288356402389295,0.056718867513895335,0.35529954775117456,0.0025422560338798136,0.5313216835505966,2.2189972985453096e-06
I03T-gNSC-r1-Di-N14-VS-N70,0.1039031186763159,0.39200697144343344,0.1794570361909466,0.1371448819054638,0.28919952520621434,0.015174747681693985,0.2762964004249822,0.020596135746567136
I03T-gNSC-r2-Di-N14-VS-N70,0.12144112933699468,0.31660091483749153,0.1980128977183943,0.10034581565798514,0.14492940447708022,0.2312809895360404,0.3503998936941314,0.0029416795606834185
I03U-gNSC-r1-Di-N14-VS-N70,0.36512541268874976,0.0018841398396319644,0.3733025712168637,0.0014578521403635113,0.2893338522190585,0.015125499222094175,0.486961253655531,1.9132768822126255e-05
I03U-gNSC-r2-Di-N14-VS-N70,0.3814161972719889,0.0011228168582033266,0.3753979087884726,0.0013636508887102231,0.17017278273343595,0.15900437156380376,0.5658479068391347,3.3141954157875973e-07
I04T-gNSC-r1-In-N14-VS-N70,0.3994750889052927,0.0006127890623606549,0.36804522697154135,0.0017205414114526882,0.3519841403317564,0.002806800200107164,0.6164279508602493,1.337556671835495e-08
