item_model,T_xdh_r2
i01_in_dance,11.0
i02_tr_eat,3.0
i03_di_deliver,3.0
i04_in_wake,4.0
i05_di_teach,10.0
i06_tr_carry,8.0
i07_in_fly,11.0
i08_di_serve,9.0
i09_tr_ride,10.0
i10_in_cry,12.0
i11_di_ask,10.0
i12_tr_cut,12.0
i13_in_swim,10.5
i14_di_sell,1.0
i15_tr_plant,9.0
i16_tr_catch,3.0
i17_di_feed,10.0
i18_in_cough,6.0
i19_tr_photo,8.0
i20_in_laugh,11.0
i21_di_throw,11.0
i22_tr_forecast,1.0
i23_di_inject,8.0
i24_in_sleep,11.0
i25_tr_chase,1.0
i26_di_readto,9.0
i27_in_sing,7.0
i28_di_givedirection,12.0
i29_tr_cuddle,6.0
i30_in_run,9.0
