Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p,BERT_spear,BERT_p
I01T-gNSC-r1-In-N14-VS-N70-W,0.7597116493913209,2.4486589514305526e-14,0.7546114193344007,4.560279299007628e-14,0.8040923539486512,5.223944910676542e-17,0.7689101523253851,7.665977123048102e-15
I01T-gNSC-r2-In-N14-VS-N70-W,0.7594014491839619,2.5441576374907865e-14,0.7640141817717162,1.4317207330525282e-14,0.7850951789490842,8.67443468023318e-16,0.6867306796435529,5.2645901194304783e-11
I01U-gNSC-r1-In-N14-VS-N70-W,0.3671571454752195,0.001768894869363487,0.32450959957923714,0.006129878938991864,0.3507403732581108,0.0029122136154395234,0.5323554262556286,2.1025475217482207e-06
I01U-gNSC-r2-In-N14-VS-N70-W,0.6746379483957128,1.519364614031758e-10,0.5717942351624783,2.3362504294415213e-07,0.5105607898300195,6.314895282223645e-06,0.23040070871116064,0.055001524160469245
I02T-gNSC-r1-Tr-N14-VS-N70-W,0.02033658624041362,0.8672900301529256,0.007881863367753527,0.9483666739182768,0.22997576846786386,0.05546356256127953,0.356194055184349,0.002474810750812118
I02T-gNSC-r2-Tr-N14-VS-N70-W,0.10761156312300224,0.37523488127712223,0.13277377999673434,0.2732000040869554,0.2473250595543184,0.038998835351824836,0.5351754234694104,1.8133698439145636e-06
I02U-gNSC-r1-Tr-N14-VS-N70-W,0.2749361975910638,0.021253702501693703,0.30356926951334,0.01062773407992508,0.2280085556117397,0.05764389421951348,0.550897535158173,7.750607333619202e-07
I02U-gNSC-r2-Tr-N14-VS-N70-W,0.2547356053774916,0.033325511136045136,0.2425405318747141,0.04307138775940128,0.3535920181982666,0.002675581235938293,0.5279079110631717,2.6480144293031904e-06
I03T-gNSC-r1-Di-N14-VS-N70-W,0.08499109344951729,0.4842082552846697,0.11914199159312874,0.3259177123936741,0.3189614772563556,0.007118308384706417,0.1719223647858476,0.15469937782984547
I03T-gNSC-r2-Di-N14-VS-N70-W,0.13223464059961265,0.2751698699516865,0.14268908868120594,0.23864994271140905,0.31820801011584565,0.0072627936640827,0.2759008301762145,0.020785554366726505
