Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p
I01T-gNSC-r1-In-N50-VS-N70,0.7582280347537438,2.938815177410899e-14,0.7656124531508065,1.169550585622863e-14,0.8002888726920817,9.391524766737909e-17
I01T-gNSC-r2-In-N50-VS-N70,0.7631511705779502,1.5958863148786552e-14,0.7777107605520215,2.3977808390983165e-15,0.47946118244380637,2.675905614745528e-05
I01U-gNSC-r1-In-N50-VS-N70,0.36504615160292475,0.0018887693265510603,0.335187653812696,0.004562012526342515,0.34793861288745376,0.0031627152744217145
I01U-gNSC-r2-In-N50-VS-N70,0.5166600787200651,4.677530198196012e-06,0.5133780454508979,5.5013630107533e-06,0.34105428740526783,0.003861580959276505
I02T-gNSC-r1-Tr-N50-VS-N70,0.005170318535698378,0.9661165586644511,-0.0242200699405604,0.8422469926837984,0.2336524394265827,0.051568834262579175
I02T-gNSC-r2-Tr-N50-VS-N70,0.018682084308990137,0.8780004402222616,0.013304953031863827,0.9129505185248985,0.20182625644017266,0.09383902988270895
I02U-gNSC-r1-Tr-N50-VS-N70,0.28899937682967053,0.015248384368499096,0.39510633045334115,0.0007117074804310987,0.23836045352624416,0.046911283140059254
I02U-gNSC-r2-Tr-N50-VS-N70,0.3639972764112995,0.001951001298227011,0.3921715140342806,0.0007860781614568363,0.23619936143584505,0.04900434328008227
I03T-gNSC-r1-Di-N50-VS-N70,0.1769517579487512,0.14280661392166366,0.20903062145596044,0.08245310754935538,0.30394864448169573,0.010525817184849792
I03T-gNSC-r2-Di-N50-VS-N70,0.12151541308573494,0.3163027729751681,0.204359125184799,0.08970329918914853,0.31479857130503835,0.00794923232363822
I03U-gNSC-r1-Di-N50-VS-N70,0.4146851071325056,0.00035811494521834823,0.41871636986482347,0.0003092579945010417,0.32634122621194783,0.0058312181319474556
I03U-gNSC-r2-Di-N50-VS-N70,0.41567859368265025,0.000345459730769153,0.41439852447381,0.000361843447683887,0.33818664277136523,0.004191033068102078
I04T-gNSC-r1-In-N50-VS-N70,0.023669704114694528,0.8457872062242872,0.01345994710228317,0.9119404611055387,0.2676341994668488,0.025097313771465263
I04T-gNSC-r2-In-N50-VS-N70,0.017792931900516815,0.8837655233115003,0.006185716583388465,0.9594673350391196,0.08210060910851007,0.49924584250105475
I04U-gNSC-r1-In-N50-VS-N70,-0.07232881197828608,0.5518231837962471,-0.0765899025448956,0.528573036411365,0.042409738300289615,0.7273946182599832
I04U-gNSC-r2-In-N50-VS-N70,-0.007991830805186097,0.9476472925909782,0.0017190665805205795,0.9887312307873903,0.01909261180918601,0.8753407780949765
I05T-gNSC-r1-Di-N50-VS-N70,0.6575176250444636,6.275563317673916e-10,0.6706345210709969,2.1346848051315345e-10,0.6909491878552306,3.593738474895085e-11
I05T-gNSC-r2-Di-N50-VS-N70,0.6477919080837924,1.3499164088042392e-09,0.6744439483958232,1.5447944837951774e-10,0.7088953284673115,6.5699210358902004e-12
I05U-gNSC-r1-Di-N50-VS-N70,0.2787426152035598,0.019457153211956863,0.2668078129869673,0.025567231589446366,0.2956102511896695,0.012972707453758323
I05U-gNSC-r2-Di-N50-VS-N70,0.2875333684288862,0.015797181651778222,0.2697070577763072,0.02395066008855398,0.315924148331403,0.0077165853696570435
I06T-gNSC-r1-Tr-N50-VS-N70,0.43458184427019125,0.00017050479629494988,0.41871605313842825,0.0003092615807931656,0.5001259806699947,1.0414407344943597e-05
I06T-gNSC-r2-Tr-N50-VS-N70,0.34725520836240786,0.0032266577160088264,0.3819715434294474,0.0011026576446734576,0.527620836794665,2.6874324278955246e-06
I06U-gNSC-r1-Tr-N50-VS-N70,0.22205748560621663,0.06466690381427605,0.2210012830340368,0.06598264680058,0.2827162919498534,0.017721666525562587
I06U-gNSC-r2-Tr-N50-VS-N70,0.2507934797251775,0.0362509002942805,0.2053403483430948,0.08814023445049786,0.31238374889707554,0.008469169772096757
I07T-gNSC-r1-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06,0.5112944600366103,6.092834533526431e-06,0.46781172587922887,4.437338960754369e-05
I07T-gNSC-r2-In-N50-VS-N70,0.5189747549213592,4.16760193815178e-06,0.518770336426328,4.210447732304712e-06,0.4954374253506075,1.2970592133772061e-05
I07U-gNSC-r1-In-N50-VS-N70,0.4145332407691164,0.00036008636233652344,0.4145332407691164,0.00036008636233652344,0.341804063028734,0.003779327791564015
I07U-gNSC-r2-In-N50-VS-N70,0.42773575276640113,0.00022124810074682576,0.43119660542588356,0.00019408111215268802,0.39689571017856895,0.0006695597780738134
I08T-gNSC-r1-Di-N50-VS-N70,0.2694579214477229,0.02408608375998263,0.26720185357659937,0.0253422436331311,0.2083165862849208,0.08353020130530174
I08T-gNSC-r2-Di-N50-VS-N70,0.2571727787545459,0.031617717309807176,0.3005120321443647,0.011480830041616135,0.3185416165598143,0.007198506739310828
I08U-gNSC-r1-Di-N50-VS-N70,0.2852863116561166,0.01667130707671793,0.26544417021088484,0.026358923135932,0.49682658709745553,1.2158000790205093e-05
I08U-gNSC-r2-Di-N50-VS-N70,0.2718138024727314,0.0228310880100404,0.2657958499566492,0.026152792092412377,0.4414467663465583,0.0001305709844879575
I09T-gNSC-r1-Tr-N50-VS-N70,0.7406974075293629,2.3094380555924073e-13,0.7514368218766061,6.664960219405898e-14,0.7757615953731118,3.115758214810304e-15
I09T-gNSC-r2-Tr-N50-VS-N70,0.744966324732392,1.4196586091532e-13,0.755893678830712,3.905847089048541e-14,0.7783927518881865,2.186439133027227e-15
I09U-gNSC-r1-Tr-N50-VS-N70,0.49009473118751073,1.6591673512104307e-05,0.5195098838972824,4.057365485628023e-06,0.20269489764389173,0.09240417236930235
I09U-gNSC-r2-Tr-N50-VS-N70,0.49758746427803346,1.1733307179232574e-05,0.5222476132957427,3.5348614193978392e-06,0.21253425593309455,0.07732660500747202
I10T-gNSC-r1-In-N50-VS-N70,0.6323605956952899,4.308744368670895e-09,0.6398523273251715,2.4726890987127355e-09,0.6109098758794612,1.951494446068448e-08
I10T-gNSC-r2-In-N50-VS-N70,0.6363455593282056,3.2127336428318917e-09,0.6473971918034919,1.3917345973236597e-09,0.6105379530119055,2.0012981889435796e-08
I10U-gNSC-r1-In-N50-VS-N70,0.5040694652996559,8.637009345106478e-06,0.5058989043237488,7.912554440813798e-06,0.48933190936482834,1.717956523109877e-05
I10U-gNSC-r2-In-N50-VS-N70,0.4997771274011978,1.058706745341149e-05,0.4997771274011978,1.058706745341149e-05,0.462451701367279,5.566017384703965e-05
I11T-gNSC-r1-Di-N50-VS-N70,0.21619479945119566,0.07224508564003232,0.2904088949598059,0.0147362892256994,0.13000965574572,0.28339944441618
I11T-gNSC-r2-Di-N50-VS-N70,0.1952001599669177,0.10536660029596483,0.21926227950508148,0.06819589277325841,0.14034007766186266,0.2465487182999693
I11U-gNSC-r1-Di-N50-VS-N70,0.2509881413589049,0.036101583791355564,-0.03170922996931388,0.7944109505237629,0.14158686891516964,0.24233424326475145
I11U-gNSC-r2-Di-N50-VS-N70,-0.14769667705889958,0.22239889001558646,0.038176048217669414,0.7536979679298588,0.007052067516545403,0.9537962915780313
I12T-gNSC-r1-Tr-N50-VS-N70,0.4147625348902109,0.00035711363723653355,0.3967685451920421,0.0006724784510782515,0.6488345296051271,1.245134279519448e-09
I12T-gNSC-r2-Tr-N50-VS-N70,0.34611085309779327,0.0033363106640243155,0.49323691904468026,1.4362110716319302e-05,0.14388757674018435,0.23468791815725631
